id,time
1,01:31
2,00:59
3,00:54
4,00:01
5,00:01
6,00:01
7,00:01
8,00:01
9,00:00
10,00:00
11,00:01
12,00:00
13,00:00
14,00:01
15,00:21
16,00:32
17,00:20
18,00:17
19,00:17
20,00:19
21,00:18
22,00:51
23,00:00
24,00:01
25,00:01
26,00:01
27,00:01
28,00:01
29,00:00
30,00:01
31,00:01
32,00:01
33,00:00
34,00:01
35,00:17
36,00:19
37,00:18
38,00:19
39,01:14
40,00:01
41,00:00
42,00:01
43,00:00
44,00:01
45,00:01
46,00:17
47,03:11
